object_id,env_id,env_type,env_active,region,data_category,size_mb,object_age_days,access_count_30d,last_access_days_ago,restore_events_90d,retention_policy,retention_days,retention_expiry_days_left,legal_hold,current_storage_class,recommended_storage_class,current_monthly_cost_usd,recommended_monthly_cost_usd,high_impact_action
58d216e1-c5e7-4bfe-af3c-d74810bd2f80,env-0035,staging,False,us-east-1,config_backup,4.21,270,0,270,0,180d,180,-90,False,ARCHIVE,DELETE_ELIGIBLE,4e-06,4e-06,True
4a8121d4-4631-46e9-8fe2-e3a3ca12a326,env-0312,ci-build,True,eu-west-1,temp_cache,6.36,11,10,11,0,30d,30,19,False,HOT,HOT,0.000143,0.000143,False
70c64f10-31f8-4aac-bba9-3b41fbe1ccc5,env-0030,dev,True,us-east-1,container_image,43.85,11,10,3,0,90d,90,79,False,COLD,HOT,0.000171,0.000985,False
d453818f-3300-4289-9965-0dab084e36be,env-0222,qa,False,ap-south-1,container_image,64.2,91,0,81,0,90d,90,-1,False,HOT,DELETE_ELIGIBLE,0.001442,0.001442,True
a1d7fb4f-df8d-4c84-a57f-196c4bbd4e0e,env-0241,staging,False,ap-southeast-1,source_artifact,5.16,24,2,6,0,30d,30,6,False,HOT,HOT,0.000116,0.000116,False
80cf081f-38bd-4acc-818f-861516e5048d,env-0167,dev,False,us-east-1,config_backup,36.03,125,0,38,0,180d,180,55,False,HOT,COLD,0.000809,0.000141,False
cf05f9f1-e76b-4c86-b715-d3c25dbb9553,env-0095,qa,True,eu-west-1,test_report,6.07,4,18,4,0,90d,90,86,False,HOT,HOT,0.000136,0.000136,False
577b2cad-5efe-44f1-87ae-be794faa68af,env-0294,dev,False,us-east-1,test_report,33.83,58,1,27,0,30d,30,-28,False,COOL,DELETE_ELIGIBLE,0.000413,0.000413,True
645c69f8-d976-4cdd-9703-56de765d6af2,env-0056,qa,False,eu-west-1,db_snapshot,102.62,178,0,61,0,180d,180,2,False,ARCHIVE,COLD,9.9e-05,0.000401,False
0e063cdb-1582-42fe-b48a-bac3106aa5ac,env-0395,dev,False,eu-west-1,db_snapshot,5.94,139,0,139,0,365d,365,226,False,COOL,COLD,7.3e-05,2.3e-05,False
2dc4ac55-320a-4b67-9ce2-f80aa2f1859e,env-0216,dev,True,ap-southeast-1,container_image,16.96,19,6,9,0,90d,90,71,False,ARCHIVE,HOT,1.6e-05,0.000381,False
15e10a99-eef5-4e3d-ba92-a2b660f2d88d,env-0390,dev,False,ap-south-1,build_log,54.94,132,0,132,1,none,0,-1,False,ARCHIVE,COLD,5.3e-05,0.000215,False
827103c1-5cd9-402f-9832-0c808d4c7a3b,env-0072,dev,True,us-east-1,build_log,133.61,6,11,6,0,30d,30,24,False,COOL,HOT,0.001631,0.003001,False
bc287ae5-cee3-4931-b425-8d87242f6289,env-0151,ci-build,False,ap-southeast-1,test_report,16.19,100,0,100,0,90d,90,-10,False,COLD,DELETE_ELIGIBLE,6.3e-05,6.3e-05,True
33ee1766-573b-455b-ad69-2cf7c50d4640,env-0128,qa,False,us-east-1,ml_model_checkpoint,22.39,195,0,83,0,180d,180,-15,False,HOT,DELETE_ELIGIBLE,0.000503,0.000503,True
e8b4bf05-9837-448f-a9c7-f516ab877224,env-0345,sandbox,False,ap-south-1,config_backup,36.1,163,0,163,0,365d,365,202,False,HOT,COLD,0.000811,0.000141,False
9bc8999d-3d3c-4595-875f-993252434fa2,env-0384,dev,False,eu-west-1,ml_model_checkpoint,22.39,177,0,177,1,180d,180,3,False,HOT,COLD,0.000503,8.7e-05,False
4a3be09a-0d0d-4b84-b1cc-65d0a95829e7,env-0253,dev,False,eu-west-1,config_backup,1.53,98,0,70,0,7y_compliance,2555,2457,False,HOT,COLD,3.4e-05,6e-06,True
bd8c59f1-62a1-4255-a67c-ba804f61c693,env-0370,sandbox,True,ap-southeast-1,container_image,4.28,4,7,4,0,none,0,-1,False,HOT,HOT,9.6e-05,9.6e-05,False
838e4be2-eae5-4d21-9c1a-0687423f18b5,env-0366,dev,False,ap-south-1,ml_model_checkpoint,15.09,147,0,135,0,90d,90,-57,False,HOT,DELETE_ELIGIBLE,0.000339,0.000339,True
752f5ffb-39c0-4ff5-8b03-5b6432e9fe1e,env-0331,qa,True,eu-west-1,test_report,17.87,13,6,13,0,none,0,-1,False,COLD,HOT,7e-05,0.000401,False
9e54adfd-d6ab-4b7d-b3f8-4dc6cb3ca44e,env-0320,demo,False,us-east-1,ml_model_checkpoint,14.15,187,0,187,0,180d,180,-7,False,HOT,DELETE_ELIGIBLE,0.000318,0.000318,True
7fe7be64-81f7-4052-8d53-8713336f56de,env-0274,dev,True,ap-south-1,temp_cache,159.62,2,12,2,0,none,0,-1,False,ARCHIVE,HOT,0.000154,0.003585,False
bb14d54b-43d9-4824-bf7c-6e8c05c14660,env-0268,staging,False,ap-southeast-1,ml_model_checkpoint,34.01,206,0,151,0,180d,180,-26,False,HOT,DELETE_ELIGIBLE,0.000764,0.000764,True
8529f03f-1dbe-48e2-82c7-090177b8fad7,env-0238,ci-build,False,ap-southeast-1,temp_cache,178.53,73,0,73,0,none,0,-1,False,COOL,COLD,0.002179,0.000697,False
1013e92f-cd1f-4fe7-a850-113228af1d8f,env-0178,sandbox,False,ap-southeast-1,config_backup,8.98,163,0,163,0,365d,365,202,False,HOT,COLD,0.000202,3.5e-05,False
663fd715-885d-4caa-a95a-16629fbe226c,env-0291,sandbox,False,eu-west-1,config_backup,118.05,225,0,212,0,365d,365,140,False,COLD,ARCHIVE,0.000461,0.000114,False
aea3552c-f2f6-4540-a5df-840ca09ff2c5,env-0326,dev,False,ap-southeast-1,config_backup,31.82,145,1,10,0,365d,365,220,False,COLD,COOL,0.000124,0.000388,False
5bb1095f-9ec8-4045-bd3f-2dc3582d8be4,env-0245,staging,False,eu-west-1,container_image,39.05,58,2,29,0,90d,90,32,False,COLD,COOL,0.000153,0.000477,False
957b0633-b446-42d4-a50c-09b472d5778d,env-0172,staging,False,us-east-1,test_report,27.98,42,0,42,1,90d,90,48,False,HOT,COLD,0.000628,0.000109,False
31cf4622-ac5c-499a-b336-224dda364cb4,env-0266,sandbox,False,ap-south-1,ml_model_checkpoint,37.94,246,0,246,0,365d,365,119,False,COOL,ARCHIVE,0.000463,3.7e-05,False
0147ba07-1491-4788-853a-b7d4707cc48f,env-0363,dev,True,ap-south-1,source_artifact,8.9,4,15,1,0,none,0,-1,False,HOT,HOT,0.0002,0.0002,False
7c3a3eb8-7f12-486c-967c-a7a87ca61b2a,env-0215,qa,True,ap-south-1,temp_cache,6.92,15,6,15,0,30d,30,15,False,HOT,HOT,0.000155,0.000155,False
e43cacb6-3416-4442-8ac4-77cb785b821b,env-0150,staging,False,eu-west-1,ml_model_checkpoint,31.01,142,1,23,0,180d,180,38,False,HOT,COOL,0.000697,0.000379,False
af11d680-7776-4b12-ac73-6ae571e60891,env-0184,staging,False,ap-southeast-1,db_snapshot,24.34,461,0,205,0,365d,365,-96,False,HOT,DELETE_ELIGIBLE,0.000547,0.000547,True
ea5951d5-9b4c-4269-a9b5-7be96084935e,env-0336,qa,False,eu-west-1,build_log,205.34,18,9,9,0,none,0,-1,False,COLD,HOT,0.000802,0.004612,False
d76af865-a4e0-440a-8786-c2c2d0442826,env-0051,qa,True,eu-west-1,ml_model_checkpoint,7.23,95,0,95,0,90d,90,-5,False,HOT,DELETE_ELIGIBLE,0.000162,0.000162,True
6d7a289e-960a-4329-aa0b-eb179a23d05f,env-0226,dev,True,eu-west-1,test_report,1.84,2,18,2,0,30d,30,28,False,ARCHIVE,HOT,2e-06,4.1e-05,False
a3d4da23-008f-4fb7-a715-95633c8431da,env-0030,sandbox,False,us-east-1,ml_model_checkpoint,14.06,210,0,145,0,90d,90,-120,False,HOT,DELETE_ELIGIBLE,0.000316,0.000316,True
be3c7ca1-cfab-48ea-91ab-4d0b29204403,env-0167,demo,False,ap-southeast-1,config_backup,15.96,87,0,87,0,180d,180,93,False,HOT,COLD,0.000358,6.2e-05,False
53ddab30-5c55-44c0-846d-4137c921acc7,env-0367,dev,False,ap-south-1,build_log,43.16,43,2,27,0,none,0,-1,False,COOL,COOL,0.000527,0.000527,False
32d3e066-2f21-4352-a502-bdcef8927150,env-0162,sandbox,False,eu-west-1,temp_cache,44.49,9,15,1,0,none,0,-1,False,HOT,HOT,0.000999,0.000999,False
2cc0e0b2-3e04-44d3-b90f-2a1d5d73d9d0,env-0168,qa,False,eu-west-1,test_report,25.22,36,9,0,0,none,0,-1,False,ARCHIVE,HOT,2.4e-05,0.000566,False
39bab316-2c4b-4aa1-a4f8-dd9bffb87b38,env-0042,dev,False,ap-southeast-1,ml_model_checkpoint,12.08,46,3,22,0,365d,365,319,False,COLD,COOL,4.7e-05,0.000147,False
44d5c5dc-d100-4289-9946-27d0e84fa56a,env-0106,ci-build,False,ap-south-1,ml_model_checkpoint,5.81,45,5,1,0,90d,90,45,False,HOT,HOT,0.000131,0.000131,False
8bebcee2-6186-4505-9bd8-3db8b3eccafc,env-0380,sandbox,False,eu-west-1,db_snapshot,103.05,113,0,40,0,180d,180,67,False,COOL,COLD,0.001258,0.000403,False
0178dca5-5da7-463c-809c-cf4763b06856,env-0179,dev,True,eu-west-1,container_image,37.69,8,9,8,0,180d,180,172,False,HOT,HOT,0.000847,0.000847,False
66eb728c-9184-4c66-890d-66eef21c5939,env-0198,staging,False,us-east-1,ml_model_checkpoint,40.64,385,0,79,0,180d,180,-205,False,ARCHIVE,DELETE_ELIGIBLE,3.9e-05,3.9e-05,True
b52af581-d736-4ce0-85e0-0fe7c3ffdb27,env-0384,qa,False,ap-southeast-1,config_backup,2.89,152,1,8,0,365d,365,213,False,HOT,COOL,6.5e-05,3.5e-05,False
04695f1b-a8e1-4844-bbea-d69c0bd52498,env-0119,dev,True,us-east-1,test_report,31.98,40,4,26,0,90d,90,50,False,COOL,COOL,0.00039,0.00039,False
6d8d9179-8b6a-48a9-be98-575b48f41f07,env-0127,sandbox,False,us-east-1,source_artifact,62.96,38,1,28,0,none,0,-1,False,HOT,COOL,0.001414,0.000769,False
